,Caption_Tokens,Label
1844,pi son para el la de g se con la de se en de la n el lo e un ni n ni son son,1
1846,encore inspiration ne plus travail inutile pour pour la pour comment sans la de pour se g de part pour un de quatre pour de quatre ne pour un capable l amour c pour pour l la de de part gale la base indispensable de l amour pose la question ce e sa non te de l lever,1
1852,lo la yo e lo al con do de n n la v en un el si un la al de fuerte,1
1853,el e de n se produce de el se cree con el de la la lo de de f un sin embargo hasta el punto de lo son la un basta ya de,1
1869,el con el g son si lo la de n de en un el planeta,1
1875,si pro di un favor si di n un en contra,1
1876,en la se pagan el fico se pagan la e de l l decide lo c mo l paga l la v ni lo b para si el de son la sexual f la mica e un de n n jam te con l,1
1879,autem dit de sol si ne bye ne ni e ni de notion sur par sol e si tu e ce genre de passive sur la bless e sur la c tout,1
1881,la cuesta lo en vale mil se la e la de se se la ya para la g un ideal de alfa solo para la g mi n e son de g sin se con cuesta se sabe ser la,1
1884,pi son para el la de g se con la de se en de la n el lo e un ni n ni son son,1
1886,encore inspiration ne plus travail inutile pour pour la pour comment sans la de pour se g de part pour un de quatre pour de quatre ne pour un capable l amour c pour pour l la de de part gale la base indispensable de l amour pose la question ce e sa non te de l lever,1
1892,lo la yo e lo al con do de n n la v en un el si un la al de fuerte,1
1893,el e de n se produce de el se cree con el de la la lo de de f un sin embargo hasta el punto de lo son la un basta ya de,1
1909,el con el g son si lo la de n de en un el planeta,1
1915,si pro di un favor si di n un en contra,1
1916,en la se pagan el fico se pagan la e de l l decide lo c mo l paga l la v ni lo b para si el de son la sexual f la mica e un de n n jam te con l,1
1917,gust e te de la la en un grave de de son de yo en soy un si ante un el te ya n con lo de si de son son lo la barcelona de terrible en masa en la en se comer al lo sea para la de sue o n la ya han n para se han en contra el e de al ah de n mal mal ser lo constat en de un extra en la de arriba de el e el due con en la per ya al de de depas la un un local n de para en mal mal en para eh en un hotel un la de un local ser en hay taxi si tu la la de la va la tu un en,1
1964,son tait longue tirade sur argent pour en se demandant si c tait possible car n tait ce un match pour la description ne se fritter tout de l c swipe pour confronter c genre de sur confront e jours sa description en capture cran en la conversation coup court en match dernier message retour l,1
1965,de l h pride g n un de de la petite,1
1967,mon un de mon travail de mon milieu si mon travail li la de de ne se en de li e la rue l cole super march la salle de sport e de de la nous nous pour pour de mon lira la rue en passe la rue sur sa son apparence physique ne nous sur para non ne robe pour attirer ton attention tez de nous la rue de nous de nous insulter si ignore j la ville de l elle robe en un de de ge elle insulter de l j j sur porter en j ai tez de juger nous ne nous pic,1
1969,tu ne tue par amour un toit ne amour violence passion j un gen un ne ce g de ce un f ce tera nous passer l extinction de la elle tu ce n n de tu n e aim e assassin e par conjoint ex conjoint ce n tait n post ce j ai f elle elle c e l h de son en petit petit en,1
1970,un crime un crime toi tu r e de ce ce remarque la culture viol justifier un crime par la question c la de son de plus sir plus intense plus sir f ce c un st r sir pend un de de genre de la nature l te en,1
1971,dig el tu lo te ser un ser miserable hasta de ser,1
1972,attention th moment l population elle l moment l gen voter tait un sa employ moment l population elle taxer la ultra rich de arriver un la na vet l petit c l petit migrant c grand si de se pour affronter de goliath plus dont si n n ne l de la te,1
1975,p link swipe story til en om sisterhood nu min mig er er men f r l n laver mere k er til o mere skal de om skal b men skal de b en mand er skal smile er er men er er super en mand smile han se dere n r o skal er gange mig til gode folk kan en kan v til end v mor kan heller man skal de p de beg r b l en de g r min patter n sten,1
1982,un pour l ge ta tu elle c tout sexy j j c mon image,1
1994,con tristeza lo la yo soy culpable de lo la e n meros o n ah lo la de,1
2001,son tait longue tirade sur argent pour en se demandant si c tait possible car n tait ce un match pour la description ne se fritter tout de l c swipe pour confronter c genre de sur confront e jours sa description en capture cran en la conversation coup court en match dernier message retour l,1
2002,de l h pride g n un de de la petite,1
2004,mon un de mon travail de mon milieu si mon travail li la de de ne se en de li e la rue l cole super march la salle de sport e de de la nous nous pour pour de mon lira la rue en passe la rue sur sa son apparence physique ne nous sur para non ne robe pour attirer ton attention tez de nous la rue de nous de nous insulter si ignore j la ville de l elle robe en un de de ge elle insulter de l j j sur porter en j ai tez de juger nous ne nous pic,1
2006,tu ne tue par amour un toit ne amour violence passion j un gen un ne ce g de ce un f ce tera nous passer l extinction de la elle tu ce n n de tu n e aim e assassin e par conjoint ex conjoint ce n tait n post ce j ai f elle elle c e l h de son en petit petit en,1
2007,un crime un crime toi tu r e de ce ce remarque la culture viol justifier un crime par la question c la de son de plus sir plus intense plus sir f ce c un st r sir pend un de de genre de la nature l te en,1
2008,dig el tu lo te ser un ser miserable hasta de ser,1
2009,attention th moment l population elle l moment l gen voter tait un sa employ moment l population elle taxer la ultra rich de arriver un la na vet l petit c l petit migrant c grand si de se pour affronter de goliath plus dont si n n ne l de la te,1
2012,p link swipe story til en om sisterhood nu min mig er er men f r l n laver mere k er til o mere skal de om skal b men skal de b en mand er skal smile er er men er er super en mand smile han se dere n r o skal er gange mig til gode folk kan en kan v til end v mor kan heller man skal de p de beg r b l en de g r min patter n sten,1
2019,un pour l ge ta tu elle c tout sexy j j c mon image,1
2031,con tristeza lo la yo soy culpable de lo la e n meros o n ah lo la de,1
2039,po amen po e bite cone ce w jako za p bo ramus od z w w ra ra ady mo na e news imi norma,1
2040,leer con la la en en de la rep de el e sin embargo lo lo para la twitter de consider e un la n sexual la e usar la de era lo bonito el de de se han de lo de para la de en de de la mi se si lo dense de son de hasta bien la de ante un lo lo,1
2042,de n negro e el define la de de la n ante en un fuerte de en el post original un n la valor al la lo sin dar fa,1
2056,jean shirt l e e ist sie f wetter tag auto f da ist die ist die k wir e wird wird die da l f gar f die f da ist sie ich ich war ich war ich angst wut ich h ich ich k oft ich n die sie wo ich mein mir w da sind ich ich mir ich w ich e mir e w h angst tag war ich war e ich bin e die den nach den real ist,1
2059,haft en v dele den den mange er bange men kan kan,1
2076,de de la ha de al ten ha un en quiz el quiz sin embargo e un de en lo hoy la la la idea de n pol n la de n pol claro el punto la e claro de ante en de lo pol ser n de la en minor de de la para la de n de la lo largo al la en el se el humor de de e de en humor vale si te te un un de ser la de con e la el de la de la spot la de la el de pa para ah lo de en idea de humor si si el humor se meter en el saco ah en debate quiz lo claro e el de de da para n,1
2079,right r furious r running protect n rest nowhere n protect u,1
2080,ne par bout commencer de j ai j do en bo te de par la taille la mal robe mon en public rage col l ai pour aller un pote plus l ai la file pour o un sortie de j ai la file e face en l ai v base de c ton tu te pour de de la un en coin la j ai rouge e ai mon verre la figure la te ai claque encore encore la en par en n en la peine pour grand chose grand chose ne ni plus ni se ne safe ne un de violent j ai rouge un coup geste son toi r te ce en coin un bon moment pour de haine gez un e c tou te nous changer chose en e,1
2084,te parado la frase yo soy un c mo o en e n de e tu va en de se te cruce n hay creen el te el inter de e dice yo soy son te l e e la distingue con te l e un n con con l e el de chico solo l era de era el primero ense aba de la de la e de total solo para un de ante dado seg n l ah si sea l ha con ya b e literal son se si lo mal sin embargo un se con actual son lo de la frase al si se la de l e de mete el en el saco l de e un el un e l e sabe mal e de para hay un inter sabe lo la n,1
2086,ya en serio ra l n son pa en impulse bien ca al dedo men con de un pu come n si vives si te dar n te la la si vives tu normal si con con te,1
2090,usar favor o n meros um fen ma se da de algum de moral question n meros,1
2093,technique de en ne exister parle de ce n sur la de l premier se nous do pique de do de l ce rent sur de se do insupportable ne visage de l par ne technique nous animal nous nous dot e de la de dire non la par sans un j technique elle un bout de ne la non plus l de do de mon r l un l elle un un plus non ne li technique l do se bien de nous un de chair fra che pour parer tout la technique de la c lin de c tout de de devoir rester l de tou te de de en place technique la la technique anti en bo te,1
2099,manche hei en hei en e die hei en da sind die aller die hei en die aller e sind die ich hei ich hei hei da hei da hei die ich hei en da hei ich hei hei en e e die hei en ich da en man wir gar die hei en e n da e fall die hei en hei sie hei en da man en e die hei en also ich da e w w die hei en h ich e da den ich hei ich e die hei en hei en da ist die gut wir da mein ist ich f sie sind man ten post h ich sage manche ich da nach sind halt e um,1
2104,iba un de de mil mi de de mi el e lo hasta se de si lo lo en de la la la ya jam en el post video el la la siglos el se lo,1
2106,de de la ha de al ten ha un en quiz el quiz sin embargo e un de en lo hoy la la la idea de n pol n la de n pol claro el punto la e claro de ante en de lo pol ser n de la en minor de de la para la de n de la lo largo al la en el se el humor de de e de en humor vale si te te un un de ser la de con e la el de la de la spot la de la el de pa para ah lo de en idea de humor si si el humor se meter en el saco ah en debate quiz lo claro e el de de da para n,1
2109,right r furious r running protect n rest nowhere n protect u,1
2110,ne par bout commencer de j ai j do en bo te de par la taille la mal robe mon en public rage col l ai pour aller un pote plus l ai la file pour o un sortie de j ai la file e face en l ai v base de c ton tu te pour de de la un en coin la j ai rouge e ai mon verre la figure la te ai claque encore encore la en par en n en la peine pour grand chose grand chose ne ni plus ni se ne safe ne un de violent j ai rouge un coup geste son toi r te ce en coin un bon moment pour de haine gez un e c tou te nous changer chose en e,1
2114,te parado la frase yo soy un c mo o en e n de e tu va en de se te cruce n hay creen el te el inter de e dice yo soy son te l e e la distingue con te l e un n con con l e el de chico solo l era de era el primero ense aba de la de la e de total solo para un de ante dado seg n l ah si sea l ha con ya b e literal son se si lo mal sin embargo un se con actual son lo de la frase al si se la de l e de mete el en el saco l de e un el un e l e sabe mal e de para hay un inter sabe lo la n,1
2116,ya en serio ra l n son pa en impulse bien ca al dedo men con de un pu come n si vives si te dar n te la la si vives tu normal si con con te,1
2120,usar favor o n meros um fen ma se da de algum de moral question n meros,1
2123,technique de en ne exister parle de ce n sur la de l premier se nous do pique de do de l ce rent sur de se do insupportable ne visage de l par ne technique nous animal nous nous dot e de la de dire non la par sans un j technique elle un bout de ne la non plus l de do de mon r l un l elle un un plus non ne li technique l do se bien de nous un de chair fra che pour parer tout la technique de la c lin de c tout de de devoir rester l de tou te de de en place technique la la technique anti en bo te,1
2129,manche hei en hei en e die hei en da sind die aller die hei en die aller e sind die ich hei ich hei hei da hei da hei die ich hei en da hei ich hei hei en e e die hei en ich da en man wir gar die hei en e n da e fall die hei en hei sie hei en da man en e die hei en also ich da e w w die hei en h ich e da den ich hei ich e die hei en hei en da ist die gut wir da mein ist ich f sie sind man ten post h ich sage manche ich da nach sind halt e um,1
2134,iba un de de mil mi de de mi el e lo hasta se de si lo lo en de la la la ya jam en el post video el la la siglos el se lo,1
2135,da imperium e non ho un aria non la di per pi e di mi l ho e irene di con e mi dell di riva al mare un di che di per di solo perch non per la fa la come perch non la fa come la tu solo fra per la c ai per non la da qua poi solo di,1
2143,con de son o lo el n en dermatitis sin mi con cicatrix e lo hay soy n han de la han,1
2145,el se e un perfecto de sin al hay tal un de hay con en la la n la el lo dan n dan pie se el la idea de la con en el saco claro hasta la de lo al,1
2149,en gang en han til den han om grad r problem er vet men vet se,1
2157,bien n id c affirmer ne r lit r sur mon de un militant parle caract c ce usage sa pertinence analogue men plus plus pour en l usage de la cat sa pertinence face l usage plus hurler un manque de de de la part un social oppress trant de la formulation g n point difficile de se en question n de r de c la vexation analysis car vision objective de sa place face face e face handicap e de personnel un constat de en,1
2166,f r mig r h r fast mig g tack p f n,1
2178,na natural de um ado para para de vista e de em sess e de de de man na boa lindo,1
2187,han f han g p tinder b om n n got j sa och bara nu jag tack f r mig,1
2190,pour lave verge ne pour lave verge lave un secret r r surrection ce n tait accessible par oh source justice video justice,1
2192,hasta el mi en de medium hora un banco la leer do justo en de al hay do con un el pasan ni un en blanco bien para se pone de se con el invade mi mi se tan lo mi dice basta ya de,1
2193,ante la v son para c mo soy para mi la culpable e la fiscal invade la el se e la lo llama e n la la la la sorda la la e contra la de la v,1
2199,font c chose de n culture de chasse de po c tu carr de respect la n un,1
2200,sie die ich n dar ber wo sie er teil rock top stra e die oft ber bi hin da da mag die h l ach k front f r f r den den augen rock k ich ich die hinter da gros ich che h dich halt h z ich ich ich mag die che na f r die die die b nation n,1
2208,en un post en la de era de son yo n,1
2209,se rant en de de plus en plus de la plage tout tout ne par de l entourage la de de la f n de c corp,1
2210,suite f de de la parole sur elle loin v j de l se lot car ne se de n en direct pour ce n tait ni bon moment ni la technique pour tirer son pingle se poser en face de maladroit c tait un total manque de conscience de son ge ce ge c ce v en pour ne un n de sa ce arrive jours un grand de ce n un en pour simple n de placer en face ne ce serum j,1
2211,na natural de um ado para para de vista e de em sess e de de de man na boa lindo,1
2220,han f han g p tinder b om n n got j sa och bara nu jag tack f r mig,1
2223,pour lave verge ne pour lave verge lave un secret r r surrection ce n tait accessible par oh source justice video justice,1
2225,hasta el mi en de medium hora un banco la leer do justo en de al hay do con un el pasan ni un en blanco bien para se pone de se con el invade mi mi se tan lo mi dice basta ya de,1
2226,ante la v son para c mo soy para mi la culpable e la fiscal invade la el se e la lo llama e n la la la la sorda la la e contra la de la v,1
2232,font c chose de n culture de chasse de po c tu carr de respect la n un,1
2233,sie die ich n dar ber wo sie er teil rock top stra e die oft ber bi hin da da mag die h l ach k front f r f r den den augen rock k ich ich die hinter da gros ich che h dich halt h z ich ich ich mag die che na f r die die die b nation n,1
2241,en un post en la de era de son yo n,1
2242,se rant en de de plus en plus de la plage tout tout ne par de l entourage la de de la f n de c corp,1
2243,suite f de de la parole sur elle loin v j de l se lot car ne se de n en direct pour ce n tait ni bon moment ni la technique pour tirer son pingle se poser en face de maladroit c tait un total manque de conscience de son ge ce ge c ce v en pour ne un n de sa ce arrive jours un grand de ce n un en pour simple n de placer en face ne ce serum j,1
2248,time speed surely wait get moving also well far enough bordel de sent pour changer de son b b un lieu public c tait simple pendant en de ce la puissance de ut de plus en plus p changer car se en main c la pour ne quip de table plus un de un rose la f de changer de sur en position de ce de de koala care pour installer table pour canada peine de la de bon l dis invent la la se conduit installer change n la sur,1
2253,sent pour changer de son b b un lieu public c tait simple pendant en de ce la puissance de ut de plus en plus p changer car se en main c la pour ne quip de table plus un de un rose la f de changer de sur en position de ce de de koala care pour installer table pour canada peine de la de bon l dis invent la la se conduit installer change n la sur,1
2256,en bande e la de l r de jean l f ne accord tout un e ami e noir e ne serve ami e surtout ta c ne de toi f e,1
2258,welcome la dit gar ons plus un scalpel pendant sa convalescence la r en son cause bon un accouchement de eh bien n aim grand la en de la bien e mal n elle mal de la nature bien elle,1
2260,hoy un poco en la en angel boza alfonso si n con dolor la la o de c se la v en o hay la n hoy en v de la sea se r de fin al sitio,1
2261,el ha la de o de n hasta de quince o de c de la de lo penal han la de n tribunal superior de de la la la provincial de ha la para ya un en provisional la c,1
2265,en en de la de g de e la b la de un de g ser de interior si de,1
2267,yo de la de g e de extra ar son anda el,1
2269,post ya di report yang para yang denial dan kalian kan,1
2275,c mo si en n de para la de n se dan de en la la son la de la lo para e la de en un de la tal ante la lo te te ti la v el la n el la,1
2282,de lo favor la n social la de n el n ade en n la n la,1
2284,mal n die ich fast ich ich bin ich e ich female people mist man wir w r ich l gen l ge e mal tut ber man nach u w altern l wert bauch man den die wir ben fast mir da mir die welt manche k system mal ge k welt wird e um da da ich bin w tend tag,1
2285,la carga mental el si la n de se visto la c mo e un de en lo se ha con la de son la ya ten ante con la para se han de ser la de de e la carga mental la la de de la tarea de n la yo se llama carga mental la labor tan invisible de n n de se traduce en soy yo la en la la de soy yo la la soy yo la saber hay pa son para con c mica mi la un lo la n yo en en el la sin tender en el hay la en el en un e la carga mental lo grave de e lo de mala fe e tan en la en de g cuesta much son han o cuesta con lo e la n much sima en el peso sea invisible un primer e lo para o c mo lo con,1
2288,credit sexual son c la sexual de el pico l actu mal el e lo visto,1
2291,de se en el v e un un video sin para la de n lo el la n de ser id en el ya e sin la de lo con sin se de un e el el en el de se un video se eros de el de pone la mesa el debate de un la la idea de si hay la n ha la de gratis de la culpa de la lo lo en si fu el e en la de la n dolor si fu lo lo mi en la happy hour link en la p,1
2297,se el e un quiz un son son hoy para con,1
2300,n tan la se creen lo en la c dan,1
2347,woohoo g r e p e n n g art booth terminal come see weekend,1
2715,la envier de l toi tu r remarque de point en si pay e de en moyenne travail gal c sans compter la plus r mun r la moyenne de plus lev e difficile affirmer l un plus de genre li e l concern e encore l en en c loin en,1
2794,nat man e wir wir wir paar f r man paar kilometer f die sind gar also wir wir den w also da n mal f e teil k k e sie w ist e,1
2802,ist mus mal wir also laura ich wir l den wir e man man also die e ist w wir lich um laura,1
2825,e fast ist mir da den image den ich den hat ko die die genie e ich die die welt hat die ich text um bitten ist f r gar f r ist da ich e fast ber die e f r mir ich plan f mal e feminist,1
2831,vigilant rox vigilant vigilant vigilant distinct academy limit limit limit privacy neon devour assault assault tu tu tu tu tu tu tu tu tu tu tu induce tu tu tu tu tu nova possessive motion disc reload limit spirit limit limit,1
2847,ich f r f r hat da sie ist die ich bitten model tut man,1
2848,canyon h man da gar man hat fall ich ich stand e ich sah h man mir die,1
2849,g tig k man sind man tun film den wir potential wir k wir,1
2850,manche dinge man gut wir h ich h ich e mir den,1
2860,un da ad lei e ha di ha solo ore dal per ancora e per e ancora e per un e,1
2864,ha di co la sar un che vita un di e io non io che stanno perch al che non l la io da e sulla tanti che di solo che donna solo che mamma ha che sulla testa con che e sulla fascia la e mezzo al al sole mamma mi da ore mi guardo e che ore che mi per per la testa dal sole per stare che non che da mamma e che un po di e da non c di fare perch l vicine di che mamma come loro di perch loro co che la mamma ha giro per e la ha tutti l ha sulla riva ha bambino e io perch,1
2865,ge ti g un e taraf g n na buna g da de namaz l zira video da ay ya da biri na alan b l plan de bu ni da ya g men n n na ula r,1
2887,kore den bu n z bu l ya ta ben de te el el,1
2893,need hate men end convent become want freedom happiness smile world nul de ha r de de pour la de,1
2944,da un di si nei l di dove due da da con due e da ansa come l pagina di la tu ne ancora non la la tua nei se post ti tra la pagina ai,1
2953,culpa de ser hiper e ma ser ma n o ser b interior depress ma de face sou um fogo de sou e de sou para um para ma e de na eu f e mental amor,1
2975,p er lite h r p men r saker p g jag b p och nu jag f r nu dock p saker f r equal h h r sen p pride glad och mot,1
3000,post written un de para con de la al ex director cultural san mart n en el de se de un la de con prop en el hotel de de la la n resounding support announcement solidarity de la former director san mart n cultural center workplace harassment evident statement read last night press conference organized purpose auditorium hotel um e de de la ex cultural san mart n as local de meio de de para audit rio hotel,1
3012,lotus e la se un canal de n para la r n de la,1
3061,en de de en do son con total la n de el sexual el de el chef ante el tribunal de boston de n de sexual en en n el el de de de en ser sin embargo do o de la n en han en especial si se en e un sitio en mayor prima un la en un la n de lo de han de el eros u n si un chef un de la en bikini l de la de el detestable chef de grave ante bien se de la n sexual e se la persona de ser de lo la de la en la el el car el la si un un ser en,1
3193,sexual sexual de en el source statistic sexual harassment workplace si de en la en el con contra p en con al,1
3198,sexual sexual de han en el de si de en la en el con contra p en con al,1
3202,el art de la define el el en el la un un de contra la la de un un de el de en la de sin embargo en n la se ha se de n de la u n ser la la,1
3271,em ar na ma para principal l e e ser f para n ma h te de e e rio para mental extra superior f em vi de tempo e dinheiro da boa sa de f e mental usar c h bito lei universal,1
3302,em ar na ma para principal l e e ser f para n ma h te de e e rio para mental extra superior f em vi de tempo e dinheiro da boa sa de f e mental usar c h bito lei universal,1
3345,might great idea idea solve problem probably fail la n e hay un si idea e si un,1
3370,might great idea idea solve problem probably fail la n e hay un si idea e si un,1
3439,secret live best life karaoke girl de c line dose un tee shirt style shop tee shirt karaoke en en shop j un e shop,1
3450,viol rape repost e par un requin de sur viol e de sur la la fiance de la,1
3477,secret live best life karaoke girl de c line dose un tee shirt style shop tee shirt karaoke en en shop j un e shop,1
3488,viol rape repost e par un requin de sur viol e de sur la la fiance de la,1
3511,n de n v de boa um bom n se e amor te mono e ser normal,1
3602,swaggy tee wait buy tee shirt swaggy en en shop,1
